organism_name	md5sum	num_unique_kmers_in_genome_sketch	num_total_kmers_in_genome_sketch	genome_scale_factor
GCA_003576535.1 Nakamurella silvestris strain=DSM 102309, ASM357653v1	053accbe805bf0b64fd2fff1e841f434	5436	5436	1000
GCA_017504655.1 Clostridia bacterium, ASM1750465v1	011e4f28bc69144f6173fea917215960	1740	1740	1000
GCF_014196455.1 Kaistia hirudinis strain=DSM 25966, ASM1419645v1	00a34aebef4f224526f9188cb92355a0	5319	5319	1000
GCF_013520985.1 Mesorhizobium sp. CCANP35 strain=CCANP35, ASM1352098v1	031bf2fad665120d29f362b931538c68	7298	7298	1000
GCA_021157895.1 Dehalococcoidia bacterium, ASM2115789v1	000851948eb46787e4cf3323c163fdb0	754	754	1000
GCA_021767325.1 Spirochaetales bacterium, ASM2176732v1	01e9222c0bc6cbdd75143246e8bd6b78	3022	3022	1000
GCF_000390185.1 Lunatimonas lonarensis strain=AK24, Lulo1	01e3213d558496f6c0fc271333e36e57	5392	5392	1000
GCA_013203905.1 Chlorobium sp., ASM1320390v1	0482adb5aaa555a31c23c481d3597fbe	1587	1587	1000
GCA_017429325.1 Oscillospiraceae bacterium, ASM1742932v1	0432ce05aad0eeddccf432e2d80f1631	1879	1879	1000
GCA_903911165.1 uncultured actinobacterium, freshwater MAG --- ErkenSummer_bin-3301	02ee0c0b61ffb7e74e6d8d8dcc276242	3112	3112	1000
GCF_018130765.1 Bradyrhizobium iriomotense strain=SZCCT0346, ASM1813076v1	03bb1cbbddf15099f3ebe0efb81d2420	8334	8334	1000
GCA_016930635.1 Sedimentisphaerales bacterium, ASM1693063v1	050312695d9745f708f67e27e0f11b55	2511	2511	1000
GCA_001820215.1 Candidatus Staskawiczbacteria bacterium RIFCSPLOWO2_01_FULL_33_13, ASM182021v1	00f1e8f9f87e8b201f56b2d160b39d71	684	684	1000
GCA_002084665.1 Desulfobacteraceae bacterium 4572_35.2, ASM208466v1	036577298e345883a8b889477a9b6cc8	1930	1930	1000
GCF_001658025.2 Kosakonia oryzae strain=Ola 51, ASM165802v2	038d476aeedb27e22efbf4051a03d008	5398	5398	1000
GCF_012726175.1 Micromonospora sp. HNM0581 strain=HNM0581, ASM1272617v1	0416dcc6155157d230ece84b7a93e8f3	5050	5050	1000
GCA_017461005.1 Clostridia bacterium, ASM1746100v1	0475bac757859bc5dd02de55beee9594	2095	2095	1000
GCA_902632445.1 uncultured Pelagibacteraceae bacterium, AH-326-M23	05ebedad88f97d3eb27a862baf85db61	842	842	1000
GCA_009379825.1 Streptosporangiales bacterium, ASM937982v1	03fc86f0dffd5310eb37b6ee03b70b45	6123	6123	1000
GCF_018024495.1 Agromyces sp. G127AT, ASM1802449v1	0204e723e0256cbd9dc10863edb2bece	3461	3461	1000
GCA_009921985.1 bacterium, ASM992198v1	03a6e691ce3a9116b91b0eea3195d614	1360	1360	1000
GCF_006715725.1 Pseudomonas sp. SLBN-26 strain=IMT03, ASM671572v1	04e3dbae456bfe1a4716535f3ae97369	5216	5216	1000
GCF_016937615.1 Pseudomonas sp. MAFF 301380 strain=MAFF 301380, ASM1693761v1	0510c0c25dba611ba680bb70509216a9	6304	6304	1000
GCA_004292865.1 Sphingobacteriales bacterium, ASM429286v1	02b3b5b81d465bbb9a343aa166e8d523	2166	2166	1000
GCF_003688415.1 Umboniibacter marinipuniceus strain=DSM 25080, ASM368841v1	03f16a13848d8b2d5825cc3b1c298c1b	2666	2666	1000
GCF_003315035.1 Nocardia puris strain=DSM 44599, ASM331503v1	058856006c9756b57885aff699fe2ccc	7657	7657	1000
GCA_019456345.1 Nitrospira sp., ASM1945634v1	0599751a920debe05404b9f8205ca982	2943	2943	1000
GCA_002169935.2 Candidatus Pelagibacter sp. TMED153, ASM216993v2	0484db52e718b50fda61b31f30e9d346	767	767	1000
GCA_016219345.1 Candidatus Saccharibacteria bacterium, ASM1621934v1	00b8e303022effea35193bcfdd30a86d	724	724	1000
GCA_016872055.1 Thaumarchaeota archaeon, JGI 2017-08-21	02703ce7a62b4416a501feccd2d8102e	1205	1205	1000
GCA_017577345.1 Clostridiales bacterium, ASM1757734v1	006817520d0b972e1cf98b9a35148d9f	1589	1589	1000
GCA_021814855.1 Bacteroidetes bacterium, ASM2181485v1	010e849e8955050c892d1c886fd94441	2475	2475	1000
