organism_name	md5sum	num_unique_kmers_in_genome_sketch	num_total_kmers_in_genome_sketch	genome_scale_factor
GCA_024275795.1 Actinomycetia bacterium, ASM2427579v1	1d21b3954b0160d307a1147ef48f8a06	1966	1966	1000
GCA_903900975.1 uncultured Rhizobiales bacterium, freshwater MAG --- AlinenLipids_bin-0924	13e2b42adef40556eb19a6ab5402a692	2836	2836	1000
GCA_016763115.1 Phycisphaerales bacterium, ASM1676311v1	1db2ab5e5f03dc6dca610b8245ad14c0	1864	1864	1000
GCA_020349865.1 Desulfobacteraceae bacterium, ASM2034986v1	0e2bd5b7f01230b3277f49ebd7082b08	4940	4940	1000
GCA_022072025.1 Elusimicrobia bacterium, ASM2207202v1	198ffbf77fc8a77333fff528d154b94f	3626	3626	1000
GCA_902782465.1 uncultured Bacteroidales bacterium, Rumen uncultured genome RUG12777	19c15fc25156201ee00e439e0b4b6796	3111	3111	1000
GCA_018648925.1 bacterium, ASM1864892v1	1c7f387a144ef5e3ca57bae011039670	475	475	1000
GCA_003576535.1 Nakamurella silvestris strain=DSM 102309, ASM357653v1	053accbe805bf0b64fd2fff1e841f434	5436	5436	1000
GCA_017504655.1 Clostridia bacterium, ASM1750465v1	011e4f28bc69144f6173fea917215960	1740	1740	1000
GCA_910579745.1 uncultured Clostridia bacterium, MGBC114079	1d065ac4115add7b8bcfc2e5301f5e5c	3143	3143	1000
GCA_012965065.1 Gammaproteobacteria bacterium, ASM1296506v1	0f40ebd43dec11961b96f3f2206dad64	1254	1254	1000
GCA_903918115.1 uncultured beta proteobacterium, freshwater MAG --- KTt_bin-0790	192694487f3de4801a2782ae6f2fc1db	1813	1813	1000
GCA_021782795.1 Proteobacteria bacterium, ASM2178279v1	16bf8060d8f1efc07c6b824403bbe3ed	2100	2100	1000
GCA_016207095.1 candidate division NC10 bacterium, ASM1620709v1	13c1fabae1e1d4827fb1fba489b2b68f	2807	2807	1000
GCF_014196455.1 Kaistia hirudinis strain=DSM 25966, ASM1419645v1	00a34aebef4f224526f9188cb92355a0	5319	5319	1000
GCA_013286945.1 Candidatus Melainabacteria bacterium, ASM1328694v1	0c189e0103df480e551982d92d49e0e1	1722	1722	1000
GCA_015057245.1 Pseudobutyrivibrio ruminis, ASM1505724v1	1d9aec1cb8bfa159b63fd73b97e188f5	3151	3151	1000
GCF_009466385.1 Bacillus sp. SYSU G01002 strain=SYSU G01002, ASM946638v1	063ec22744b4c5f73b058eb904d8f2ee	3280	3280	1000
GCF_003851045.1 Paenibacillus sp. 598K strain=598K, ASM385104v1	1610a312541fa6605ec46fb32be93a23	8022	8022	1000
GCA_902524655.1 uncultured Alphaproteobacteria bacterium, AG-895-K23	1906be849d65da7ad9c6f89ddc25dc70	1788	1788	1000
GCF_900634605.1 Chlamydia buteonis, RSHA	1c4db34baaa159599789d7ea2b5931a5	1113	1113	1000
GCF_902832845.1 Burkholderia metallica strain=LMG 24068, ASM90283284v1	1cf1cd3fa124a4bf65675cded5bd5181	7436	7436	1000
GCF_014207595.1 Algisphaera agarilytica strain=DSM 103725, ASM1420759v1	1dd6f11ed116288f81acf19fdfaf29c5	4140	4140	1000
GCA_022563215.1 Proteobacteria bacterium, ASM2256321v1	17bea2e089fe58b9d3ce767d2bf717f0	2157	2157	1000
GCF_013520985.1 Mesorhizobium sp. CCANP35 strain=CCANP35, ASM1352098v1	031bf2fad665120d29f362b931538c68	7298	7298	1000
GCA_023268255.1 Thaumarchaeota archaeon, ASM2326825v1	086d14203a352173d9d65655e09ff350	1250	1250	1000
GCA_003232855.1 Verrucomicrobiales bacterium, ASM323285v1	133f13691229315d82223a1df4d0af7a	1800	1800	1000
GCA_022703375.1 Deltaproteobacteria bacterium, ASM2270337v1	107ec1edbb5d1f59d3b95f2bdbd269fb	2602	2602	1000
GCF_003985125.1 Rhizobium phaseoli strain=ATCC 14482, ASM398512v1	0b1cbb8a21df95cca00c56665d150eb6	6577	6577	1000
GCA_023456995.1 Firmicutes bacterium, ASM2345699v1	0e1f8bfe1958d4049c4d12a93f60a978	1750	1750	1000
GCA_016025055.1 Chryseobacterium indologenes strain=DSM 16777, ASM1602505v1	1ac4ee1b71b1c56a7ed1d7b1aeead9dc	4792	4792	1000
GCF_023130475.1 Aciditerrimonas ferrireducens strain=MV1, ASM2313047v1	120375da0ca6da07121d5070a2a8694d	2640	2640	1000
GCA_018222765.1 bacterium, ASM1822276v1	08e4513862c5426bc87291477647042a	4302	4302	1000
GCA_016784085.1 Candidatus Pacearchaeota archaeon, ASM1678408v1	128266db60f864c2a1d6f14363f068bf	405	405	1000
GCA_021157895.1 Dehalococcoidia bacterium, ASM2115789v1	000851948eb46787e4cf3323c163fdb0	754	754	1000
GCA_017882025.1 Chloroflexi bacterium, ASM1788202v1	14795b9ba212210de2c16d6b0ea2ca15	1905	1905	1000
GCA_003601875.1 Candidatus Bathyarchaeota archaeon, ASM360187v1	1823f7a0795fbc8d6be6112bf719e99d	593	593	1000
GCA_021767325.1 Spirochaetales bacterium, ASM2176732v1	01e9222c0bc6cbdd75143246e8bd6b78	3022	3022	1000
GCA_004558595.1 Phascolarctobacterium sp., ASM455859v1	0ec45f3b1816c7fbc4a06a83452a8f2d	2128	2128	1000
GCA_024279735.1 Alphaproteobacteria bacterium, ASM2427973v1	120171f0fddc85a6f8a3e0609491c0bb	2914	2914	1000
GCA_016191225.1 Gemmatimonadetes bacterium, ASM1619122v1	085303fc25cced4d5f109d0e69a697c9	2994	2994	1000
GCA_003133385.1 Candidatus Saccharibacteria bacterium, 20120500_P26	098aef7abfe8b8014894608ff6d5831f	1096	1096	1000
GCF_019396385.1 Nonomuraea harbinensis strain=CGMCC 4.7106, ASM1939638v1	068791344c83e156f978f3ef794d882b	9328	9328	1000
GCF_002736145.1 Collinsella aerofaciens strain=indica, ASM273614v1	139286699907f4d64c15ca615fb65f4b	2250	2250	1000
GCA_012964265.1 Candidatus Lambdaproteobacteria bacterium, ASM1296426v1	176246ae476277f06ab22a87fbb28ce2	2153	2153	1000
GCA_002364755.1 Stenotrophomonas maltophilia, ASM236475v1	09f50ab020c99cf48d766e8635688e31	4219	4219	1000
GCA_002025645.1 Curtobacterium pusillum strain=AA3, ASM202564v1	1b60caa39e01e76ac28e2d7483946068	4455	4455	1000
GCF_014202635.1 Faecalicoccus acidiformans strain=DSM 26963, ASM1420263v1	1be4f30691e3a1de43b846c1c0ed4ce0	1714	1714	1000
GCA_900542615.1 uncultured Clostridiales bacterium, UMGS474	1d9d31ca166abc8218676468c8971987	2068	2068	1000
GCA_022827045.1 Candidatus Binatia bacterium, ASM2282704v1	121eb4be6c699e22c91b346e41b86003	4638	4638	1000
GCA_015066365.1 Ruminococcaceae bacterium, ASM1506636v1	1618210f0206841fcfc7e3e0a01915eb	1596	1596	1000
GCF_000969445.1 Devosia chinhatensis strain=IPL18, ASM96944v1	086f7b8ebaa4e6a6472a39aed0457389	3499	3499	1000
GCF_000423645.1 Sediminimonas qiaohouensis DSM 21189 strain=DSM 21189, ASM42364v1	08e0d4808f78a692ce984d687251251d	3465	3465	1000
GCF_000390185.1 Lunatimonas lonarensis strain=AK24, Lulo1	01e3213d558496f6c0fc271333e36e57	5392	5392	1000
GCA_001769835.1 Bdellovibrionales bacterium GWB1_55_8, ASM176983v1	0b4195915ee7b12d2dbb5aa489d296db	3755	3755	1000
GCA_913030915.1 uncultured Rhodobiaceae bacterium, ERR599065_bin.10_MetaBAT_v2.12.1_MAG	1286c05c3626e5126f7383c072da5184	1264	1264	1000
GCA_013203905.1 Chlorobium sp., ASM1320390v1	0482adb5aaa555a31c23c481d3597fbe	1587	1587	1000
GCA_017429325.1 Oscillospiraceae bacterium, ASM1742932v1	0432ce05aad0eeddccf432e2d80f1631	1879	1879	1000
GCF_020687765.1 Sphingobacterium sp. FBM7-1 strain=FBM7-1, ASM2068776v1	08929137abd6f69314debc745b44f908	3580	3580	1000
