# SOURMASH-MANIFEST-VERSION: 1.0
internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
signatures/053accbe805bf0b64fd2fff1e841f434.sig,053accbe805bf0b64fd2fff1e841f434,053accbe,31,DNA,0,1000,5436,False,"GCA_003576535.1 Nakamurella silvestris strain=DSM 102309, ASM357653v1",/dev/fd/63
signatures/011e4f28bc69144f6173fea917215960.sig,011e4f28bc69144f6173fea917215960,011e4f28,31,DNA,0,1000,1740,False,"GCA_017504655.1 Clostridia bacterium, ASM1750465v1",/dev/fd/63
signatures/00a34aebef4f224526f9188cb92355a0.sig,00a34aebef4f224526f9188cb92355a0,00a34aeb,31,DNA,0,1000,5319,False,"GCF_014196455.1 Kaistia hirudinis strain=DSM 25966, ASM1419645v1",/dev/fd/63
signatures/031bf2fad665120d29f362b931538c68.sig,031bf2fad665120d29f362b931538c68,031bf2fa,31,DNA,0,1000,7298,False,"GCF_013520985.1 Mesorhizobium sp. CCANP35 strain=CCANP35, ASM1352098v1",/dev/fd/63
signatures/000851948eb46787e4cf3323c163fdb0.sig,000851948eb46787e4cf3323c163fdb0,00085194,31,DNA,0,1000,754,False,"GCA_021157895.1 Dehalococcoidia bacterium, ASM2115789v1",/dev/fd/63
signatures/01e9222c0bc6cbdd75143246e8bd6b78.sig,01e9222c0bc6cbdd75143246e8bd6b78,01e9222c,31,DNA,0,1000,3022,False,"GCA_021767325.1 Spirochaetales bacterium, ASM2176732v1",/dev/fd/63
signatures/01e3213d558496f6c0fc271333e36e57.sig,01e3213d558496f6c0fc271333e36e57,01e3213d,31,DNA,0,1000,5392,False,"GCF_000390185.1 Lunatimonas lonarensis strain=AK24, Lulo1",/dev/fd/63
signatures/0482adb5aaa555a31c23c481d3597fbe.sig,0482adb5aaa555a31c23c481d3597fbe,0482adb5,31,DNA,0,1000,1587,False,"GCA_013203905.1 Chlorobium sp., ASM1320390v1",/dev/fd/63
signatures/0432ce05aad0eeddccf432e2d80f1631.sig,0432ce05aad0eeddccf432e2d80f1631,0432ce05,31,DNA,0,1000,1879,False,"GCA_017429325.1 Oscillospiraceae bacterium, ASM1742932v1",/dev/fd/63
signatures/02ee0c0b61ffb7e74e6d8d8dcc276242.sig,02ee0c0b61ffb7e74e6d8d8dcc276242,02ee0c0b,31,DNA,0,1000,3112,False,"GCA_903911165.1 uncultured actinobacterium, freshwater MAG --- ErkenSummer_bin-3301",/dev/fd/63
signatures/03bb1cbbddf15099f3ebe0efb81d2420.sig,03bb1cbbddf15099f3ebe0efb81d2420,03bb1cbb,31,DNA,0,1000,8334,False,"GCF_018130765.1 Bradyrhizobium iriomotense strain=SZCCT0346, ASM1813076v1",/dev/fd/63
signatures/050312695d9745f708f67e27e0f11b55.sig,050312695d9745f708f67e27e0f11b55,05031269,31,DNA,0,1000,2511,False,"GCA_016930635.1 Sedimentisphaerales bacterium, ASM1693063v1",/dev/fd/63
signatures/00f1e8f9f87e8b201f56b2d160b39d71.sig,00f1e8f9f87e8b201f56b2d160b39d71,00f1e8f9,31,DNA,0,1000,684,False,"GCA_001820215.1 Candidatus Staskawiczbacteria bacterium RIFCSPLOWO2_01_FULL_33_13, ASM182021v1",/dev/fd/63
signatures/036577298e345883a8b889477a9b6cc8.sig,036577298e345883a8b889477a9b6cc8,03657729,31,DNA,0,1000,1930,False,"GCA_002084665.1 Desulfobacteraceae bacterium 4572_35.2, ASM208466v1",/dev/fd/63
signatures/038d476aeedb27e22efbf4051a03d008.sig,038d476aeedb27e22efbf4051a03d008,038d476a,31,DNA,0,1000,5398,False,"GCF_001658025.2 Kosakonia oryzae strain=Ola 51, ASM165802v2",/dev/fd/63
signatures/0416dcc6155157d230ece84b7a93e8f3.sig,0416dcc6155157d230ece84b7a93e8f3,0416dcc6,31,DNA,0,1000,5050,False,"GCF_012726175.1 Micromonospora sp. HNM0581 strain=HNM0581, ASM1272617v1",/dev/fd/63
signatures/0475bac757859bc5dd02de55beee9594.sig,0475bac757859bc5dd02de55beee9594,0475bac7,31,DNA,0,1000,2095,False,"GCA_017461005.1 Clostridia bacterium, ASM1746100v1",/dev/fd/63
signatures/05ebedad88f97d3eb27a862baf85db61.sig,05ebedad88f97d3eb27a862baf85db61,05ebedad,31,DNA,0,1000,842,False,"GCA_902632445.1 uncultured Pelagibacteraceae bacterium, AH-326-M23",/dev/fd/63
signatures/03fc86f0dffd5310eb37b6ee03b70b45.sig,03fc86f0dffd5310eb37b6ee03b70b45,03fc86f0,31,DNA,0,1000,6123,False,"GCA_009379825.1 Streptosporangiales bacterium, ASM937982v1",/dev/fd/63
signatures/0204e723e0256cbd9dc10863edb2bece.sig,0204e723e0256cbd9dc10863edb2bece,0204e723,31,DNA,0,1000,3461,False,"GCF_018024495.1 Agromyces sp. G127AT, ASM1802449v1",/dev/fd/63
signatures/03a6e691ce3a9116b91b0eea3195d614.sig,03a6e691ce3a9116b91b0eea3195d614,03a6e691,31,DNA,0,1000,1360,False,"GCA_009921985.1 bacterium, ASM992198v1",/dev/fd/63
signatures/04e3dbae456bfe1a4716535f3ae97369.sig,04e3dbae456bfe1a4716535f3ae97369,04e3dbae,31,DNA,0,1000,5216,False,"GCF_006715725.1 Pseudomonas sp. SLBN-26 strain=IMT03, ASM671572v1",/dev/fd/63
signatures/0510c0c25dba611ba680bb70509216a9.sig,0510c0c25dba611ba680bb70509216a9,0510c0c2,31,DNA,0,1000,6304,False,"GCF_016937615.1 Pseudomonas sp. MAFF 301380 strain=MAFF 301380, ASM1693761v1",/dev/fd/63
signatures/02b3b5b81d465bbb9a343aa166e8d523.sig,02b3b5b81d465bbb9a343aa166e8d523,02b3b5b8,31,DNA,0,1000,2166,False,"GCA_004292865.1 Sphingobacteriales bacterium, ASM429286v1",/dev/fd/63
