organism_name	md5sum	num_unique_kmers_in_genome_sketch	num_total_kmers_in_genome_sketch	genome_scale_factor
GCA_017504655.1 Clostridia bacterium, ASM1750465v1	011e4f28bc69144f6173fea917215960	1740	1740	1000
GCF_014196455.1 Kaistia hirudinis strain=DSM 25966, ASM1419645v1	00a34aebef4f224526f9188cb92355a0	5319	5319	1000
GCA_021157895.1 Dehalococcoidia bacterium, ASM2115789v1	000851948eb46787e4cf3323c163fdb0	754	754	1000
GCA_021767325.1 Spirochaetales bacterium, ASM2176732v1	01e9222c0bc6cbdd75143246e8bd6b78	3022	3022	1000
GCF_000390185.1 Lunatimonas lonarensis strain=AK24, Lulo1	01e3213d558496f6c0fc271333e36e57	5392	5392	1000
GCA_903911165.1 uncultured actinobacterium, freshwater MAG --- ErkenSummer_bin-3301	02ee0c0b61ffb7e74e6d8d8dcc276242	3112	3112	1000
GCA_001820215.1 Candidatus Staskawiczbacteria bacterium RIFCSPLOWO2_01_FULL_33_13, ASM182021v1	00f1e8f9f87e8b201f56b2d160b39d71	684	684	1000
GCF_018024495.1 Agromyces sp. G127AT, ASM1802449v1	0204e723e0256cbd9dc10863edb2bece	3461	3461	1000
GCA_004292865.1 Sphingobacteriales bacterium, ASM429286v1	02b3b5b81d465bbb9a343aa166e8d523	2166	2166	1000
GCA_016219345.1 Candidatus Saccharibacteria bacterium, ASM1621934v1	00b8e303022effea35193bcfdd30a86d	724	724	1000
GCA_016872055.1 Thaumarchaeota archaeon, JGI 2017-08-21	02703ce7a62b4416a501feccd2d8102e	1205	1205	1000
GCA_017577345.1 Clostridiales bacterium, ASM1757734v1	006817520d0b972e1cf98b9a35148d9f	1589	1589	1000
GCA_021814855.1 Bacteroidetes bacterium, ASM2181485v1	010e849e8955050c892d1c886fd94441	2475	2475	1000
GCF_001746425.1 Streptomyces subrutilus strain=10-1-1, ASM174642v1	016e8de42c3eb2af3cbc857e26594f53	7920	7920	1000
GCA_017302755.1 Alphaproteobacteria bacterium, ASM1730275v1	011e6b3f7619c9c91c8311ec1c9bbd5a	2085	2085	1000
GCF_003201975.1 Pseudogracilibacillus auburnensis strain=DSM 28556, ASM320197v1	00b559b296355d27f3f8a71f7eb99517	4762	4762	1000
GCA_945906815.1 Bordetella parapertussis, TrH-03may19-243	00cec145b5ab88ff7cf6d557d6a66035	4800	4800	1000
